username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
aijibun,アーティスト/かみさまアートを描く人/女神チャネリングアートを描く人/ゆめゆめちゃんを描く人,,238,473,5746,2015-05-31 00:38:02,2020-07-08 13:29:07,0,"Mother's love is great!

#goddess #beautiful #lovely #sexy #classic #popular #elegance #pure #followme #illustration #digitalart #japan #art https://t.co/mZpXNhlesg","[{'text': 'goddess', 'indices': [25, 33]}, {'text': 'beautiful', 'indices': [34, 44]}, {'text': 'lovely', 'indices': [45, 52]}, {'text': 'sexy', 'indices': [53, 58]}, {'text': 'classic', 'indices': [59, 67]}, {'text': 'popular', 'indices': [68, 76]}, {'text': 'elegance', 'indices': [77, 86]}, {'text': 'pure', 'indices': [87, 92]}, {'text': 'followme', 'indices': [93, 102]}, {'text': 'illustration', 'indices': [103, 116]}, {'text': 'digitalart', 'indices': [117, 128]}, {'text': 'japan', 'indices': [129, 135]}, {'text': 'art', 'indices': [136, 140]}]"
MaryLong9064,Fun loving person.  Yeshua ( Jesus ) is my hero. I love being outside enjoying God's creation.  Sean Astin fan. Long time Paul Michael Glaser fan.,Wisconsin,1416,639,20963,2011-12-16 03:32:02,2020-07-08 13:28:48,1,"𝙲𝚊𝚝𝚌𝚑 𝚄𝚙 𝚠𝚒𝚝𝚑 𝚊 #𝙵𝚊𝚟𝚘𝚛𝚒𝚝𝚎 𝚗𝚘𝚠 𝚘𝚗
https://t.co/s23aZtYXc4

#𝙿𝚘𝚙𝚞𝚕𝚊𝚛
#𝚃𝚛𝚎𝚗𝚍𝚒𝚗𝚐 
#𝙴𝚗𝚝𝚎𝚛𝚝𝚊𝚒𝚗𝚖𝚎𝚗𝚝 
#𝙰𝚌𝚝𝚘𝚛
#𝙰𝚛𝚝𝚒𝚜𝚝
#𝙰𝚞𝚝𝚑𝚘𝚛
#𝙼𝚎𝚜𝚜𝚊𝚐𝚎
#𝚅𝚒𝚍𝚎𝚘 https://t.co/7NIvcBQEX7","[{'text': '𝙵𝚊𝚟𝚘𝚛𝚒𝚝𝚎', 'indices': [34, 43]}, {'text': '𝙿𝚘𝚙𝚞𝚕𝚊𝚛', 'indices': [76, 84]}, {'text': '𝚃𝚛𝚎𝚗𝚍𝚒𝚗𝚐', 'indices': [85, 94]}, {'text': '𝙴𝚗𝚝𝚎𝚛𝚝𝚊𝚒𝚗𝚖𝚎𝚗𝚝', 'indices': [96, 110]}, {'text': '𝙰𝚌𝚝𝚘𝚛', 'indices': [112, 118]}, {'text': '𝙰𝚛𝚝𝚒𝚜𝚝', 'indices': [119, 126]}, {'text': '𝙰𝚞𝚝𝚑𝚘𝚛', 'indices': [127, 134]}]"
Booksbymaureen,Since redundancy I have started writing Fantasy Romance novels. https://t.co/8wo4SQrYTU for info on my books. Love to read.,Gloucestershire. U.K.,3756,5725,60854,2012-10-15 18:48:55,2020-07-08 13:28:18,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
WebComicNetwork,"No comic is too small to get the audience it deserves, we work to improve the webcomic ecosystem to make it easier for struggling creators   @webcomicconnect",https://discord.gg/Cahf3Ut,26,2765,74069,2017-04-25 23:17:49,2020-07-08 13:22:25,3,Head First #aliens #UFO #toy #toys #doll #dolls #kids #play #cabbage #cabbagepatchdolls #trend #popular #vegetables #farm #farming #food #webcomic #webcomics #comic #comics #cartoon #humor #funny https://t.co/uY7sDuR69x,"[{'text': 'aliens', 'indices': [28, 35]}, {'text': 'UFO', 'indices': [36, 40]}, {'text': 'toy', 'indices': [41, 45]}, {'text': 'toys', 'indices': [46, 51]}, {'text': 'doll', 'indices': [52, 57]}, {'text': 'dolls', 'indices': [58, 64]}, {'text': 'kids', 'indices': [65, 70]}, {'text': 'play', 'indices': [71, 76]}, {'text': 'cabbage', 'indices': [77, 85]}, {'text': 'cabbagepatchdolls', 'indices': [86, 104]}, {'text': 'trend', 'indices': [105, 111]}, {'text': 'popular', 'indices': [112, 120]}, {'text': 'vegetables', 'indices': [121, 132]}, {'text': 'farm', 'indices': [133, 138]}]"
MarcosFizzotti,,São Paulo,4216,3526,47578,2013-01-06 13:55:59,2020-07-08 13:17:16,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-08 13:13:23,0,Watch SpaceX launch Starlink satellites equipped with ‘sun visors’ live https://t.co/nd1X2C4dvO via @ric9871ric  #retweet #popular https://t.co/0kwvcatwPd,"[{'text': 'retweet', 'indices': [113, 121]}, {'text': 'popular', 'indices': [122, 130]}]"
film_wurm,liebt Bücher und Filme,,1438,1545,35716,2016-09-01 10:14:05,2020-07-08 13:05:20,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
sanono_murasaki,Humorist/Writer/amateur translator. I have wide range of interests and usually comment on or translate something that interests me. Tweet in JP/EN.,Nagoyaland,421,458,34360,2018-03-26 23:03:04,2020-07-08 12:59:58,3,Head First #aliens #UFO #toy #toys #doll #dolls #kids #play #cabbage #cabbagepatchdolls #trend #popular #vegetables #farm #farming #food #webcomic #webcomics #comic #comics #cartoon #humor #funny https://t.co/uY7sDuR69x,"[{'text': 'aliens', 'indices': [28, 35]}, {'text': 'UFO', 'indices': [36, 40]}, {'text': 'toy', 'indices': [41, 45]}, {'text': 'toys', 'indices': [46, 51]}, {'text': 'doll', 'indices': [52, 57]}, {'text': 'dolls', 'indices': [58, 64]}, {'text': 'kids', 'indices': [65, 70]}, {'text': 'play', 'indices': [71, 76]}, {'text': 'cabbage', 'indices': [77, 85]}, {'text': 'cabbagepatchdolls', 'indices': [86, 104]}, {'text': 'trend', 'indices': [105, 111]}, {'text': 'popular', 'indices': [112, 120]}, {'text': 'vegetables', 'indices': [121, 132]}, {'text': 'farm', 'indices': [133, 138]}]"
TravelTherapy5,Travel Blogging Community to share your travel stories,,10,7,72,2020-05-21 19:38:45,2020-07-08 12:56:26,0,Peace comes from within ❤️ #popular #follow #instagram #love #like #trending #instagood #viral #explorepage #photography #likeforlikes #music #fashion #explore #love #followforfollowback #famous #memes… https://t.co/Z1WuYVuyI8,"[{'text': 'popular', 'indices': [27, 35]}, {'text': 'follow', 'indices': [36, 43]}, {'text': 'instagram', 'indices': [44, 54]}, {'text': 'love', 'indices': [55, 60]}, {'text': 'like', 'indices': [61, 66]}, {'text': 'trending', 'indices': [67, 76]}, {'text': 'instagood', 'indices': [77, 87]}, {'text': 'viral', 'indices': [88, 94]}, {'text': 'explorepage', 'indices': [95, 107]}, {'text': 'photography', 'indices': [108, 120]}, {'text': 'likeforlikes', 'indices': [121, 134]}, {'text': 'music', 'indices': [135, 141]}, {'text': 'fashion', 'indices': [142, 150]}, {'text': 'explore', 'indices': [151, 159]}, {'text': 'love', 'indices': [160, 165]}, {'text': 'followforfollowback', 'indices': [166, 186]}, {'text': 'famous', 'indices': [187, 194]}, {'text': 'memes', 'indices': [195, 201]}]"
MaraAlmudena2,"Orgullosa hispanohablante. Perseverante estudiante de inglés. Ojalá algún día pueda intentarlo con el árabe.
Enamorada de las periferias.
Derechos Humanos.",España,1384,328,29799,2016-06-02 19:53:06,2020-07-08 12:44:02,15,"Tweets series of what have been highlighted in the report ""On the 9th #Anniversary of the #Popular Uprising, the Deaths of 226,247 Civilians Have Been Documented, including 14,391 Due to #Torture, along with the Displacement of 15.2 Million Syrians""
https://t.co/5PQr32BGCk","[{'text': 'Anniversary', 'indices': [80, 92]}, {'text': 'Popular', 'indices': [100, 108]}]"
